audioset,comment
/m/0dgw9r,Human_sounds
/m/09l8g,Human_voice
/m/09x0r,Speech
/m/05zppz,Male_speech_and_man_speaking
/m/02zsn,Female_speech_and_woman_speaking
/m/0ytgt,Child_speech_and_kid_speaking
/m/01h8n0,Conversation
/m/02qldy,Narration_and_monologue
/m/0261r1,Babbling
/m/0brhx,Speech_synthesizer
/m/07p6fty,Shout
/m/07q4ntr,Bellow
/m/07rwj3x,Whoop
/m/07sr1lc,Yell
/m/04gy_2,Battle_cry
/t/dd00135,Children_shouting
/m/03qc9zr,Screaming
/m/02rtxlg,Whispering
/m/01j3sz,Laughter
/t/dd00001,Baby_laughter
/m/07r660_,Giggle
/m/07s04w4,Snicker
/m/07sq110,Belly_laugh
/m/07rgt08,Chuckle_and_chortle
/m/0463cq4,Crying_and_sobbing
/t/dd00002,Baby_cry_and_infant_cry
/m/07qz6j3,Whimper
/m/07qw_06,Wail_and_moan
/m/07plz5l,Sigh
/m/015lz1,Singing
/m/0l14jd,Choir
/m/01swy6,Yodeling
/m/02bk07,Chant
/m/01c194,Mantra
/t/dd00003,Male_singing
/t/dd00004,Female_singing
/t/dd00005,Child_singing
/t/dd00006,Synthetic_singing
/m/06bxc,Rapping
/m/02fxyj,Humming
/m/07s2xch,Groan
/m/07r4k75,Grunt
/m/01j423,Yawn
/m/01w250,Whistling
/m/079vc8,Wolf-whistling
/m/09hlz4,Respiratory_sounds
/m/0lyf6,Breathing
/m/07mzm6,Wheeze
/m/01d3sd,Snoring
/m/07s0dtb,Gasp
/m/07pyy8b,Pant
/m/07q0yl5,Snort
/m/01b_21,Cough
/m/0dl9sf8,Throat_clearing
/m/01hsr_,Sneeze
/m/07ppn3j,Sniff
/m/0bpl036,Human_locomotion
/m/06h7j,Run
/m/07qv_x_,Shuffle
/m/07pbtc8,Walk_and_footsteps
/m/0160x5,Digestive
/m/03cczk,Chewing_and_mastication
/m/07pdhp0,Biting
/m/0939n_,Gargling
/m/01g90h,Stomach_rumble
/m/03q5_w,Burping_and_eructation
/m/02p3nc,Hiccup
/m/02_nn,Fart
/m/0k65p,Hands
/m/025_jnm,Finger_snapping
/m/0l15bq,Clapping
/m/01jg02,Heart_sounds_and_heartbeat
/m/01jg1z,Heart_murmur
/m/04xp5v,Otoacoustic_emission
/m/0pv6y,Tinnitus_and_ringing_in_the_ears
/t/dd00012,Human_group_actions
/m/053hz1,Cheering
/m/028ght,Applause
/m/07rkbfh,Chatter
/m/03qtwd,Crowd
/m/07qfr4h,Hubbub_and_speech_noise_and_speech_babble
/m/04v5dt,Booing
/t/dd00013,Children_playing
/m/0jbk,Animal
/m/068hy,Domestic_animals_and_pets
/m/0bt9lr,Dog
/m/05tny_,Bark
/m/07r_k2n,Yip
/m/07qf0zm,Howl
/m/07rc7d9,Bow-wow
/m/0ghcn6,Growling
/t/dd00136,Whimper_(dog)
/m/07srf8z,Bay
