"Site","Elevation","Ecotype","Class","ROC_AUC","Low_Q","MLE_Q","High_Q"
"TransectB_Site1",1608,"Closed koa-ohia wet forest","Akiapolaau_adult",0.993686848612387,0.00425394736872258,0.0099999998,0.0225210166624056
"TransectB_Site1",1608,"Closed koa-ohia wet forest","Akiapolaau_juvenile",0.971105508118482,0.00149893776649979,0.0049999999,0.0162115777226208
"TransectB_Site1",1608,"Closed koa-ohia wet forest","Alawi_adult",0.974196257715135,0.00758289575477861,0.0149999997,0.0290229152204206
"TransectB_Site1",1608,"Closed koa-ohia wet forest","Alawi_juvenile",0.775414800599088,0.0139486774708218,0.02749999945,0.0518160690102811
"TransectB_Site2",1695,"Closed koa-ohia wet forest","Akiapolaau_adult",NA,2.0826072747662e-06,0,0.00834565620333209
"TransectB_Site2",1695,"Closed koa-ohia wet forest","Akiapolaau_juvenile",0.996231135754148,0.00148984111590882,0.0049999999,0.0163471117298515
"TransectB_Site2",1695,"Closed koa-ohia wet forest","Alawi_adult",0.84133215224668,0.0284746198101211,0.0449999991,0.0715262395708715
"TransectB_Site2",1695,"Closed koa-ohia wet forest","Alawi_juvenile",0.988402041476247,0.0195692754217971,0.0299999994,0.046039954203631
"TransectA_Site3",1520,"Closed ohia wet forest","Akiapolaau_adult",0.97744358942469,0.000428553902134015,0.00249999995,0.0126091522604694
"TransectA_Site3",1520,"Closed ohia wet forest","Akiapolaau_juvenile",0.994962196575069,0.00273295793990829,0.00749999985,0.0192029828293687
"TransectA_Site3",1520,"Closed ohia wet forest","Alawi_adult",0.77246751641626,0.0218386034993048,0.03749999925,0.0632577712053517
"TransectA_Site3",1520,"Closed ohia wet forest","Alawi_juvenile",0.976796516499467,0.025855956181773,0.03749999925,0.0547397470031148
"TransectA_Site4",1600,"Open ohia wet forest","Akiapolaau_adult",0.997493714335966,0.000422992294826668,0.00249999995,0.0127866195775678
"TransectA_Site4",1600,"Open ohia wet forest","Akiapolaau_juvenile",0.982367738390575,0.00288463858977254,0.00749999985,0.0192730732930589
"TransectA_Site4",1600,"Open ohia wet forest","Alawi_adult",0.712368406055402,0.0298343617710255,0.049999999,0.0818333067579335
"TransectA_Site4",1600,"Open ohia wet forest","Alawi_juvenile",0.731294714224336,0.0484627090171767,0.07249999855,0.106551864798648
"TransectA_Site1",1325,"Closed ohia wet forest","Akiapolaau_adult",NA,1.83642655378423e-06,0,0.00833969230378517
"TransectA_Site1",1325,"Closed ohia wet forest","Akiapolaau_juvenile",NA,1.74202747179261e-06,0,0.00860466403508826
"TransectA_Site1",1325,"Closed ohia wet forest","Alawi_adult",0.786967402767571,0.000435873781448316,0.00249999995,0.0124937511931938
"TransectA_Site1",1325,"Closed ohia wet forest","Alawi_juvenile",NA,1.83006600629117e-06,0,0.00842078352100613
"TransectA_Site2",1385,"Closed ohia wet forest","Akiapolaau_adult",NA,1.85587045467604e-06,0,0.00881488640077297
"TransectA_Site2",1385,"Closed ohia wet forest","Akiapolaau_juvenile",0.997493714335966,0.000430199005726103,0.00249999995,0.0125226167459454
"TransectA_Site2",1385,"Closed ohia wet forest","Alawi_adult",0.902777759539843,0.00430334908482281,0.0099999998,0.0229862807324122
"TransectA_Site2",1385,"Closed ohia wet forest","Alawi_juvenile",0.890585223601319,0.00868464078384026,0.01749999965,0.034634363371756
"TransectA_Site5",1818,"Open koa-ohia mesic forest","Akiapolaau_adult",0.983668321936315,0.00147474709679455,0.0049999999,0.0161496980191623
"TransectA_Site5",1818,"Open koa-ohia mesic forest","Akiapolaau_juvenile",0.956006748778205,0.00765377725172,0.0149999997,0.0290171463225447
"TransectA_Site5",1818,"Open koa-ohia mesic forest","Alawi_adult",0.798687406133854,0.065613488066036,0.0899999982,0.12284229080516
"TransectA_Site5",1818,"Open koa-ohia mesic forest","Alawi_juvenile",0.773728503936565,0.0377590305093351,0.05749999885,0.0863689138952889
"TransectA_Site6",1993,"Open koa mesic forest/pasture","Akiapolaau_adult",0.953182807780075,0.0230482021333444,0.0349999993,0.053902005522707
"TransectA_Site6",1993,"Open koa mesic forest/pasture","Akiapolaau_juvenile",0.975765286208872,0.0114295301570812,0.0199999996,0.0351472924290585
"TransectA_Site6",1993,"Open koa mesic forest/pasture","Alawi_adult",0.785542839187592,0.0958272852593336,0.1249999975,0.163279456795144
"TransectA_Site6",1993,"Open koa mesic forest/pasture","Alawi_juvenile",0.92402760750798,0.00932091209257568,0.01749999965,0.0327139847774775
"TransectB_Site3",1874,"Open koa-ohia mesic forest","Akiapolaau_adult",0.996364937914781,0.00965491950001161,0.01749999965,0.0323735345599507
"TransectB_Site3",1874,"Open koa-ohia mesic forest","Akiapolaau_juvenile",0.977997429020461,0.0114910577677322,0.0199999996,0.0350877404568972
