ioc_12_2,ebird2021,comment
aegithalos concinnus,blttit2,
aegithalos exilis,pygtit1,
aegithalos fuliginosus,sootit1,
aegithalos glaucogularis,lottit5,
aegithalos iouschistos,bkbtit3,
aegithalos leucogenys,whctit1,
aegithalos niveogularis,whttit1,
aegithalos sharpei,bkbtit3,
aegithina lafresnayei,greior1,
aegithina nigrolutea,whtior1,
aegithina tiphia,comior1,
aegithina viridissima,greior2,
aegolius acadicus,nswowl,
aegolius funereus,borowl,
aegolius gradyi,bswowl1,
aegolius harrisii,bufowl1,
aegolius ridgwayi,uswowl1,
aegotheles affinis,barown2,
aegotheles albertisi,moonig1,
aegotheles bennettii,barown1,
aegotheles crinifrons,molown1,
aegotheles cristatus,auonig1,
aegotheles insignis,feonig1,
aegotheles savesi,nconig1,
aegotheles tatei,spaown1,
aegotheles wallacii,waonig1,
aegypius monachus,cinvul1,
aenigmatolimnas marginalis,strcra1,
aepypodius arfakianus,watbrt1,
aepypodius bruijnii,brubrt1,
aerodramus amelis,palswi2,
aerodramus bartschi,marswi,
aerodramus brevirostris,himswi2,
aerodramus ceramensis,molswi1,
aerodramus elaphrus,seyswi1,
aerodramus francicus,masswi1,
aerodramus fuciphagus,ednswi1,
aerodramus germani,gerswi1,
aerodramus hirundinaceus,mouswi2,
aerodramus infuscatus,molswi3,
aerodramus inquietus,caiswi1,
aerodramus leucophaeus,polswi1,
aerodramus maximus,blnswi1,
aerodramus mearnsi,phiswi1,
aerodramus nuditarsus,balswi1,
aerodramus ocistus,marswi2,
aerodramus orientalis,mayswi1,
aerodramus papuensis,papswi1,
aerodramus pelewensis,palswi1,
aerodramus salangana,monswi2,
aerodramus sawtelli,atiswi1,
aerodramus sororum,molswi4,
aerodramus spodiopygius,whrswi2,
aerodramus terraereginae,ausswi1,
aerodramus unicolor,indswi1,
aerodramus vanikorensis,uniswi1,
aerodramus vulcanorum,volswi1,
aerodramus whiteheadi,whiswi1,
aeronautes andecolus,andswi1,
aeronautes montivagus,whtswi1,
aeronautes saxatalis,whtswi,
aethia cristatella,creauk,
aethia psittacula,parauk,
aethia pusilla,leaauk,
aethia pygmaea,whiauk,
aethomyias arfakianus,gygscr1,
aethomyias nigrorufus,bimwar1,
aethomyias papuensis,papscr1,
aethomyias perspicillatus,bufscr1,
aethomyias rufescens,vogscr1,
aethomyias spilodera,pabscr1,
aethopyga bella,hansun1,
aethopyga boltoni,moasun1,
aethopyga christinae,fotsun1,
aethopyga decorosa,bohsun1,
aethopyga duyvenbodei,elesun1,
aethopyga eximia,whfsun1,
aethopyga flagrans,flasun1,
aethopyga gouldiae,gousun1,
aethopyga guimarasensis,mansun1,
aethopyga ignicauda,fitsun1,
aethopyga jefferyi,mousun1,
aethopyga linaraborae,linsun1,
aethopyga magnifica,magsun1,
aethopyga mystacalis,scasun1,
aethopyga nipalensis,grtsun1,
aethopyga primigenia,gyhsun2,
aethopyga pulcherrima,mewsun2,
aethopyga saturata,bltsun1,
aethopyga shelleyi,lovsun1,
aethopyga siparaja,eacsun1,
aethopyga temminckii,temsun1,
aethopyga vigorsii,wecsun1,
afropavo congensis,conpea1,
afrotis afra,blabus3,
afrotis afraoides,whqbus1,
agamia agami,agaher1,
agapornis canus,gyhlov1,
agapornis fischeri,fislov1,
agapornis lilianae,lillov1,
agapornis nigrigenis,blclov1,
agapornis personatus,yeclov,
agapornis pullarius,rehlov1,
agapornis roseicollis,peflov,
agapornis swindernianus,blclov2,
agapornis taranta,blwlov1,
agelaioides badius,bawcow4,
agelaioides fringillarius,bawcow3,
agelaius assimilis,resbla1,
agelaius humeralis,tasbla,
agelaius phoeniceus,rewbla,
agelaius tricolor,tribla,
agelaius xanthomus,yesbla1,
agelastes meleagrides,whbgui1,
agelastes niger,blagui1,
agelasticus cyanopus,unibla2,
agelasticus thilius,yewbla2,
agelasticus xanthophthalmus,paebla2,
aglaeactis aliciae,pubsun1,
aglaeactis castelnaudii,whtsun1,
aglaeactis cupripennis,shisun1,
aglaeactis pamela,blhsun1,
aglaiocercus berlepschi,vensyl1,
aglaiocercus coelestis,vitsyl1,
aglaiocercus kingii,lotsyl1,
agraphospiza rubescens,blaros1,
agriornis albicauda,wtstyr1,
agriornis lividus,gresht1,
agriornis micropterus,gybsht1,
agriornis montanus,bkbsht1,
agriornis murinus,lessht1,
agropsar philippensis,chcsta1,
agropsar sturninus,dausta1,
aidemosyne modesta,plhfin1,
ailuroedus arfakianus,arfcat1,
ailuroedus astigmaticus,huocat1,
ailuroedus buccoides,whecat1,
ailuroedus crassirostris,grecat1,
ailuroedus geislerorum,taccat1,
ailuroedus jobiensis,norcat1,
ailuroedus maculosus,spocat2,
ailuroedus melanocephalus,bkccat1,
ailuroedus melanotis,spocat1,
ailuroedus stonii,ocbcat1,
aimophila notosticta,oaxspa1,
aimophila rufescens,russpa1,
aimophila ruficeps,rucspa,
aix galericulata,manduc,
aix sponsa,wooduc,
akialoa ellisiana,greaki2,
akialoa lanaiensis,greaki3,
akialoa obscura,lesaki,
akialoa stejnegeri,greaki4,
akletos goeldii,goeant1,
akletos melanoceps,whsant1,
alaemon alaudipes,grhlar1,
alaemon hamertoni,lehlar1,
alauda arvensis,skylar,
alauda gulgula,orisky1,
alauda leucoptera,whwlar1,
alauda razae,razsky1,
alaudala athensis,sstlar1,
alaudala cheleensis,lstlar2,
alaudala heinei,tstlar1,
alaudala raytal,sanlar1,
alaudala rufescens,mstlar1,
alaudala somalica,sstlar1,
alca torda,razorb,
alcedo atthis,comkin1,
alcedo coerulescens,smbkin1,
alcedo euryzona,blbkin2,
alcedo hercules,blykin1,
alcedo meninting,blekin1,
alcedo quadribrachys,shbkin1,
alcedo semitorquata,hackin1,
alcippe brunneicauda,broful1,
alcippe davidi,gycful3,
alcippe fratercula,gycful4,
alcippe grotei,bkbful1,
alcippe hueti,gycful5,
alcippe morrisonia,gycful1,
alcippe nipalensis,nepful1,
alcippe peracensis,mouful1,
alcippe poioicephala,brcful1,
alcippe pyrrhoptera,javful1,
alcurus striatus,strbul2,
alcurus tympanistrigus,spnbul1,
aleadryas rufinucha,runwhi1,
alectoris barbara,barpar2,
alectoris chukar,chukar,
alectoris graeca,rocpar2,
alectoris magna,przpar1,
alectoris melanocephala,arapar1,
alectoris philbyi,phipar1,
alectoris rufa,relpar1,
alectroenas madagascariensis,mabpig1,
alectroenas nitidissimus,mabpig2,
alectroenas pulcherrimus,sebpig1,
alectroenas sganzini,cobpig1,
alectrurus risora,stttyr1,
alectrurus tricolor,cottyr1,
alectura lathami,ausbrt1,
alethe castanea,ficale2,
alethe diademata,ficale3,
alipiopsitta xanthops,yefpar5,
alisterus amboinensis,mokpar1,
alisterus chloropterus,pakpar1,
alisterus scapularis,aukpar1,
alle alle,doveki,
allenia fusca,scbthr,
alophoixus bres,gycbul3,
alophoixus flaveolus,whtbul1,
alophoixus frater,gytbul1,
alophoixus ochraceus,ochbul2,
alophoixus pallidus,putbul1,
alophoixus phaeocephalus,yebbul2,
alophoixus ruficrissus,ochbul3,
alophoixus tephrogenys,gycbul2,
alopochelidon fucata,tahswa2,
alopochen aegyptiaca,egygoo,
alopochen kervazoi,reushe1,
alopochen mauritiana,maushe1,
amadina erythrocephala,rehfin1,
amadina fasciata,cutthr1,
amalocichla incerta,legrob1,
amalocichla sclateriana,grgrob1,
amandava amandava,redava,
amandava formosa,grnava1,
amandava subflava,zebwax2,
amaurolimnas concolor,unicra1,
amaurornis isabellina,isabuh1,
amaurornis magnirostris,talbuh1,
amaurornis moluccana,rutbuh1,
amaurornis olivacea,plabuh1,
amaurornis phoenicurus,whbwat1,
amaurospiza aequatorialis,blusee1,
amaurospiza carrizalensis,carsee1,
amaurospiza concolor,blusee1,
amaurospiza moesta,blbsee3,
amazilia boucardi,manhum1,
amazilia luciae,honeme1,
amazilia rutila,cinhum1,
amazilia tzacatl,rtlhum,
amazilia yucatanensis,bubhum,
amazilis amazilia,amahum1,
amazona aestiva,bufpar,
amazona agilis,blbpar1,
amazona albifrons,whfpar1,
amazona amazonica,orwpar,
amazona arausiaca,renpar1,
amazona auropalliata,yenpar1,
amazona autumnalis,relpar,
amazona barbadensis,yespar1,
amazona brasiliensis,retpar1,
amazona collaria,yebpar1,
amazona diadema,relpar,
amazona dufresniana,blcpar2,
amazona farinosa,meapar,
amazona festiva,fespar1,
amazona finschi,licpar,
amazona guatemalae,meapar,
amazona guildingii,stvpar1,
amazona imperialis,imppar1,
amazona kawalli,kawpar1,
amazona leucocephala,cubpar1,
amazona mercenarius,scnpar1,
amazona ochrocephala,ywcpar,
amazona oratrix,yehpar,
amazona pretrei,respar2,
amazona rhodocorytha,rebpar7,
amazona tresmariae,yehpar,
amazona tucumana,tucpar1,
amazona ventralis,hispar1,
amazona versicolor,stlpar1,
amazona vinacea,vinpar1,
amazona viridigenalis,recpar,
amazona vittata,purpar1,
amazona xantholora,yelpar1,
amazonetta brasiliensis,bratea1,
amblycercus holosericeus,yebcac1,
amblyornis flavifrons,gofbow1,
amblyornis germanus,huocat1,
amblyornis inornata,vogbow2,
amblyornis macgregoriae,macbow2,
amblyornis subalaris,strbow1,
amblyospiza albifrons,growea1,
amblyramphus holosericeus,schbla1,
ammodramus aurifrons,yebspa1,
ammodramus humeralis,graspa1,
ammodramus savannarum,graspa,
ammomanes cinctura,batlar1,
ammomanes deserti,deslar1,
ammomanes phoenicura,rutlar2,
ammomanopsis grayi,gralar2,
ammonastes pelzelni,gybant1,
ammoperdix griseogularis,sespar1,
ammoperdix heyi,sanpar1,
ammospiza caudacuta,sstspa,
ammospiza leconteii,lecspa,
ammospiza maritima,seaspa,
ammospiza nelsoni,nstspa,
ampeliceps coronatus,gocmyn1,
ampelioides tschudii,scafru1,
ampelion rubrocristatus,reccot1,
ampelion rufaxilla,chccot1,
ampelornis griseiceps,gyhant1,
amphispiza bilineata,bktspa,
amphispizopsis quinquestriata,fisspa,
amytornis ballarae,kalgra1,
amytornis barbatus,grygra1,
amytornis dorotheae,cargra2,
amytornis goyderi,eyrgra1,
amytornis housei,blagra1,
amytornis merrotsyi,shtgra1,
amytornis modestus,thbgra4,
amytornis purnelli,dusgra1,
amytornis rowleyi,rusgra1,
amytornis striatus,strgra2,
amytornis textilis,thbgra1,
amytornis whitei,rufgra1,
amytornis woodwardi,whtgra1,
anabacerthia amaurotis,whbfog1,
anabacerthia lichtensteini,obfgle2,
anabacerthia ruficaudata,rutfog1,
anabacerthia striaticollis,mofgle1,
anabacerthia variegaticeps,stfgle1,
anabathmis hartlaubii,prisun2,
anabathmis newtonii,newsun2,
anabathmis reichenbachii,reisun2,
anabazenops dorsalis,ducfog1,
anabazenops fuscus,wcfgle1,
anairetes alpinus,abttyr1,
anairetes fernandezianus,jfttyr1,
anairetes flavirostris,ybttyr1,
anairetes nigrocristatus,bkctit1,
anairetes parulus,tuttyr1,
anairetes reguloides,pcttyr1,
anaplectes rubriceps,rehwea1,
anarhynchus frontalis,wrybil1,
anas acuta,norpin,
anas albogularis,andtea1,
anas andium,spetea3,
anas aucklandica,auitea1,
anas bahamensis,whcpin,
anas bernieri,bertea1,
anas capensis,captea1,
anas carolinensis,gnwtea,
anas castanea,chetea1,
anas chlorotis,brotea1,
anas crecca,gnwtea,
anas diazi,mexduc,
anas eatoni,eatpin1,
anas erythrorhyncha,rebduc1,
anas flavirostris,yebtea1,
anas fulvigula,motduc,
anas georgica,yebpin1,
anas gibberifrons,suntea1,
anas gracilis,gretea1,
anas laysanensis,layduc,
anas luzonica,phiduc1,
anas melleri,melduc1,
anas nesiotis,caitea1,
anas platyrhynchos,mallar3,
anas poecilorhyncha,isbduc1,
anas rubripes,ambduc,
anas sparsa,afbduc1,
anas superciliosa,pabduc1,
anas theodori,mauduc1,
anas undulata,yebduc1,
anas wyvilliana,hawduc,
anas zonorhyncha,spbduc,
anastomus lamelligerus,afrope1,
anastomus oscitans,asiope1,
ancistrops strigilatus,chwhoo1,
andigena cucullata,homtou1,
andigena hypoglauca,gybmot1,
andigena laminirostris,pbmtou1,
andigena nigrirostris,bbmtou1,
androdon aequatorialis,tobhum1,
andropadus importunus,somgre1,
androphobus viridis,papwhi1,
anhima cornuta,horscr1,
anhinga anhinga,anhing,
anhinga melanogaster,darter2,
anhinga novaehollandiae,darter4,
anhinga rufa,darter3,
anisognathus igniventris,sbmtan1,
anisognathus lacrymosus,lamtan1,
anisognathus melanogenys,bkcmot1,
anisognathus notabilis,bcmtan2,
anisognathus somptuosus,bwmtan1,
anodorhynchus glaucus,glamac1,
anodorhynchus hyacinthinus,hyamac1,
anodorhynchus leari,indmac1,
anomalospiza imberbis,parwea1,
anopetia gounellei,brther2,
anorrhinus austeni,brnhor1,
anorrhinus galeritus,buchor1,
anorrhinus tickelli,ruchor1,
anous albivitta,grynod1,
anous ceruleus,bugnod,
anous minutus,blknod,
anous stolidus,brnnod,
anous tenuirostris,lesnod1,
anser albifrons,gwfgoo,
anser anser,gragoo,
anser brachyrhynchus,pifgoo,
anser caerulescens,snogoo,
anser canagicus,empgoo,
anser cygnoides,swagoo1,
anser erythropus,lwfgoo,
anser fabalis,taibeg1,
anser indicus,bahgoo,
anser rossii,rosgoo,
anser serrirostris,tunbeg1,
anseranas semipalmata,maggoo1,
anthipes monileger,whgfly1,
anthipes solitaris,rubfly3,
anthobaphes violacea,orbsun2,
anthocephala berlepschi,tolblo1,
anthocephala floriceps,samblo1,
anthochaera carunculata,redwat1,
anthochaera chrysoptera,bruwat1,
anthochaera lunulata,litwat1,
anthochaera paradoxa,yelwat1,
anthochaera phrygia,reghon1,
anthornis melanocephala,chibel1,
anthornis melanura,nezbel1,
anthoscopus caroli,afptit1,
anthoscopus flavifrons,foptit1,
anthoscopus minutus,soptit1,
anthoscopus musculus,mcptit1,
anthoscopus parvulus,yeptit1,
anthoscopus punctifrons,septit1,
anthracoceros albirostris,orphor1,
anthracoceros coronatus,maphor1,
anthracoceros malayanus,blahor1,
anthracoceros marchei,palhor1,
anthracoceros montani,sulhor2,
anthracothorax aurulentus,antman1,
anthracothorax dominicus,antman1,
anthracothorax mango,jamman1,
anthracothorax nigricollis,bltman1,
anthracothorax prevostii,gnbman,
anthracothorax veraguensis,verman1,
anthracothorax viridigula,grtman1,
anthracothorax viridis,greman1,
anthreptes anchietae,ancsun1,
anthreptes aurantius,vitsun1,
anthreptes gabonicus,mobsun1,
anthreptes griseigularis,pltsun3,
anthreptes longuemarei,wvbsun1,
anthreptes malacensis,pltsun2,
anthreptes neglectus,uvbsun1,
anthreptes orientalis,kvbsun1,
anthreptes rectirostris,gresun1,
anthreptes reichenowi,plbsun1,
anthreptes rhodolaemus,retsun3,
anthreptes rubritorques,bansun1,
anthreptes seimundi,ligsun2,
anthreptes simplex,plasun1,
anthreptes tephrolaemus,gresun1,
anthus antarcticus,sogpip1,
anthus australis,auspip1,
anthus berthelotii,berpip1,
anthus bogotensis,parpip1,
anthus brachyurus,shtpip1,
anthus brevirostris,shbpip1,
anthus caffer,buspip1,
anthus campestris,tawpip1,
anthus cervinus,retpip,
anthus chacoensis,chapip1,
anthus chii,yelpip2,
anthus chloris,yebpip2,
anthus cinnamomeus,afrpip1,
anthus correndera,corpip1,
anthus crenatus,yetpip1,
anthus furcatus,shbpip1,
anthus godlewskii,blypip1,
anthus gustavi,pecpip,
anthus gutturalis,alppip1,
anthus hellmayri,helpip1,
anthus hodgsoni,olbpip,
anthus hoeschi,moupip1,
anthus leucophrys,plbpip1,
anthus lineiventris,strpip1,
anthus melindae,malpip1,
anthus nattereri,ocbpip1,
anthus nicholsoni,lobpip7,
anthus nilghiriensis,nilpip1,
anthus novaeseelandiae,auspip1,
anthus nyassae,woopip1,
anthus pallidiventris,lolpip1,
anthus peruvianus,yelpip3,
anthus petrosus,rocpip1,
anthus pratensis,meapip1,
anthus richardi,ricpip1,
anthus roseatus,rospip1,
anthus rubescens,amepip,
anthus ruficollis,rtweye1,
anthus rufulus,oripip1,
anthus similis,lobpip1,
anthus sokokensis,sokpip1,
anthus spinoletta,watpip1,
anthus spragueii,sprpip,
anthus sylvanus,uplpip1,
anthus trivialis,trepip,
anthus vaalensis,bufpip1,
antigone antigone,sarcra1,
antigone canadensis,sancra,
antigone rubicunda,brolga1,
antigone vipio,whncra1,
antilophia bokermanni,araman1,
antilophia galeata,helman1,
antrostomus arizonae,souwpw1,
antrostomus badius,yucnig1,
antrostomus carolinensis,chwwid,
antrostomus cubanensis,granig1,
antrostomus ekmani,granig1,
antrostomus noctitherus,purnig1,
antrostomus ridgwayi,bucnig,
antrostomus rufus,rufnig1,
antrostomus salvini,tacnig1,
antrostomus saturatus,dusnig1,
antrostomus sericocaudatus,sitnig1,
antrostomus vociferus,easwpw1,
anumara forbesi,forbla1,
anumbius annumbi,firgat1,
apalharpactes mackloti,sumtro1,
apalharpactes reinwardtii,javtro1,
apalis alticola,brhapa1,
apalis argentea,kunapa1,
apalis bamendae,bamapa1,
apalis binotata,masapa1,
apalis chapini,chaapa1,
apalis chariessa,whwapa1,
apalis chirindensis,chiapa1,
apalis cinerea,gryapa1,
apalis flavida,yebapa1,
apalis flavigularis,batapa3,
apalis flavocincta,yebapa1,
apalis fuscigularis,batapa4,
apalis goslingi,gosapa1,
apalis jacksoni,bltapa1,
apalis kaboboensis,chtapa2,
apalis karamojae,karapa1,
apalis lynesi,batapa5,
apalis melanocephala,blhapa1,
apalis nigriceps,blcapa1,
apalis personata,blfapa1,
apalis porphyrolaema,chtapa3,
apalis ruddi,rudapa1,
apalis rufogularis,butapa1,
apalis sharpii,shaapa2,
apalis thoracica,batapa2,
apaloderma aequatoriale,bactro1,
apaloderma narina,nartro1,
apaloderma vittatum,battro1,
apalopteron familiare,bonhon1,
aphanapteryx bonasia,redrai1,
aphanocrex podarces,sthcra1,
aphanotriccus audax,blbfly1,
aphanotriccus capitalis,tacfly1,
aphelocephala leucopsis,souwhi1,
aphelocephala nigricincta,banwhi1,
aphelocephala pectoralis,chbwhi1,
aphelocoma californica,cowscj1,
aphelocoma coerulescens,flsjay,
aphelocoma insularis,issjay,
aphelocoma ultramarina,mexjay3,
aphelocoma unicolor,unijay1,
aphelocoma wollweberi,mexjay4,
aphelocoma woodhouseii,wooscj2,
aphrastura masafuerae,masray1,
aphrastura spinicauda,thtray1,
aphrodroma brevirostris,kerpet2,
aplonis atrifusca,samsta1,
aplonis brunneicapillus,whesta2,
aplonis cantoroides,sinsta1,
aplonis cinerascens,rarsta1,
aplonis circumscripta,metsta1,
aplonis corvina,kossta1,
aplonis crassa,tansta1,
aplonis dichroa,sacsta1,
aplonis feadensis,atosta1,
aplonis fusca,norsta1,
aplonis grandis,brwsta1,
aplonis insularis,rensta1,
aplonis magna,lotsta1,
aplonis mavornata,myssta1,
aplonis metallica,metsta1,
aplonis minor,shtsta1,
aplonis mysolensis,molsta1,
aplonis mystacea,yeesta1,
aplonis opaca,micsta1,
aplonis panayensis,asgsta1,
aplonis pelzelni,pohsta1,
aplonis santovestris,mousta1,
aplonis striata,strsta1,
aplonis tabuensis,polsta1,
aplonis zelandica,ruwsta1,
aprositornis disjuncta,yapant1,
aprosmictus erythropterus,rewpar1,
aprosmictus jonquillaceus,olspar1,
aptenodytes forsteri,emppen1,
aptenodytes patagonicus,kinpen1,
aptenorallus calayanensis,calrai1,
apteryx australis,sobkiw1,
apteryx haastii,grskiw1,
apteryx mantelli,nibkiw1,
apteryx owenii,liskiw1,
apteryx rowi,okbkiw1,
apus acuticauda,darswi1,
apus affinis,litswi1,
apus alexandri,aleswi1,
apus apus,comswi,
apus balstoni,madswi1,
apus barbatus,afrswi1,
apus batesi,batswi1,
apus berliozi,fowswi1,
apus bradfieldi,braswi1,
apus caffer,whrswi1,
apus cooki,cooswi1,
apus horus,horswi1,
apus leuconyx,blyswi1,
apus niansae,nyaswi1,
apus nipalensis,houswi1,
apus pacificus,fotswi,
apus pallidus,palswi3,
apus salimalii,saaswi1,
apus sladeniae,afrswi1,
apus unicolor,plaswi1,
aquila adalberti,spaeag1,
aquila africana,cashae1,
aquila audax,weteag1,
aquila chrysaetos,goleag,
aquila fasciata,boneag2,
aquila gurneyi,gureag1,
aquila heliaca,impeag1,
aquila nipalensis,steeag1,
aquila rapax,taweag1,
aquila spilogaster,afrhae1,
aquila verreauxii,vereag1,
ara ambiguus,grgmac,
ara ararauna,baymac,
ara chloropterus,ragmac1,
ara glaucogularis,bltmac1,
ara macao,scamac1,
ara militaris,milmac,
ara rubrogenys,refmac1,
ara severus,chfmac1,
ara tricolor,cubmac1,
arachnothera affinis,stbspi2,
arachnothera chrysogenys,yeespi1,
arachnothera clarae,nafspi1,
arachnothera crassirostris,thbspi1,
arachnothera dilutior,palspi2,
arachnothera everetti,borspi1,
arachnothera flammifera,ortspi1,
arachnothera flavigaster,spespi2,
arachnothera juliae,whispi1,
arachnothera longirostra,litspi1,
arachnothera magna,strspi1,
arachnothera modesta,gybspi2,
arachnothera robusta,lobspi1,
aramides albiventris,runwor1,
aramides axillaris,rnwrai1,
aramides cajaneus,gycwor1,
aramides calopterus,rwwrai1,
aramides mangle,liwrai1,
aramides saracura,sbwrai1,
aramides wolfi,brwrai1,
aramides ypecaha,giwrai1,
aramidopsis plateni,plarai1,
aramus guarauna,limpki,
aratinga auricapillus,gocpar2,
aratinga jandaya,janpar1,
aratinga maculata,subpar1,
aratinga nenday,bkhpar,
aratinga solstitialis,sunpar1,
aratinga weddellii,duhpar,
arborophila ardens,haipar1,
arborophila atrogularis,whcpar1,
arborophila brunneopectus,babpar1,
arborophila cambodiana,chhpar1,
arborophila campbelli,gybpar3,
arborophila crudigularis,taipar1,
arborophila davidi,ornpar1,
arborophila diversa,chhpar1,
arborophila gingica,whnpar2,
arborophila hyperythra,rebpar5,
arborophila javanica,chbpar1,
arborophila mandellii,chbpar2,
arborophila orientalis,gybpar4,
arborophila rolli,gybpar5,
arborophila rubrirostris,rebpar3,
arborophila rufipectus,sicpar1,
arborophila rufogularis,rutpar1,
arborophila sumatrana,gybpar6,
arborophila torqueola,hilpar1,
arcanator orostruthus,dapthr1,
archboldia papuensis,arcbow1,
archilochus alexandri,bkchum,
archilochus colubris,rthhum,
ardea alba,greegr,
ardea cinerea,graher1,
ardea cocoi,cocher1,
ardea goliath,golher1,
ardea herodias,grbher3,
ardea humbloti,humher1,
ardea insignis,whbher2,
ardea intermedia,integr,
ardea melanocephala,blhher1,
ardea pacifica,pacher1,
