birdnet,comment
Abroscopus albogularis,Rufous-faced Warbler
Abroscopus superciliaris,Yellow-bellied Warbler
Aburria aburri,Wattled Guan
Acanthagenys rufogularis,Spiny-cheeked Honeyeater
Acanthis cabaret,Lesser Redpoll
Acanthis flammea,Common Redpoll
Acanthis hornemanni,Hoary Redpoll
Acanthiza chrysorrhoa,Yellow-rumped Thornbill
Acanthiza pusilla,Brown Thornbill
Acanthorhynchus tenuirostris,Eastern Spinebill
Accipiter badius,Shikra
Accipiter bicolor,Bicolored Hawk
Accipiter cooperii,Cooper's Hawk
Accipiter fasciatus,Brown Goshawk
Accipiter gentilis,Northern Goshawk
Accipiter nisus,Eurasian Sparrowhawk
Accipiter striatus,Sharp-shinned Hawk
Accipiter tachiro,African Goshawk
Acridotheres cristatellus,Crested Myna
Acridotheres fuscus,Jungle Myna
Acridotheres tristis,Common Myna
Acris crepitans,Northern Cricket Frog
Acris gryllus,Southern Cricket Frog
Acrocephalus agricola,Paddyfield Warbler
Acrocephalus arundinaceus,Great Reed Warbler
Acrocephalus australis,Australian Reed Warbler
Acrocephalus bistrigiceps,Black-browed Reed Warbler
Acrocephalus dumetorum,Blyth's Reed Warbler
Acrocephalus gracilirostris,Lesser Swamp Warbler
Acrocephalus melanopogon,Moustached Warbler
Acrocephalus orientalis,Oriental Reed Warbler
Acrocephalus palustris,Marsh Warbler
Acrocephalus schoenobaenus,Sedge Warbler
Acrocephalus scirpaceus,Eurasian Reed Warbler
Acrocephalus stentoreus,Clamorous Reed Warbler
Acropternis orthonyx,Ocellated Tapaculo
Actinodura strigula,Chestnut-tailed Minla
Actitis hypoleucos,Common Sandpiper
Actitis macularius,Spotted Sandpiper
Adelomyia melanogenys,Speckled Hummingbird
Aechmophorus clarkii,Clark's Grebe
Aechmophorus occidentalis,Western Grebe
Aegithalos caudatus,Long-tailed Tit
Aegithalos concinnus,Black-throated Tit
Aegithina tiphia,Common Iora
Aegolius acadicus,Northern Saw-whet Owl
Aegolius funereus,Boreal Owl
Aegotheles cristatus,Australian Owlet-nightjar
Aeronautes saxatalis,White-throated Swift
Aethopyga christinae,Fork-tailed Sunbird
Aethopyga nipalensis,Green-tailed Sunbird
Aethopyga siparaja,Crimson Sunbird
Agapornis roseicollis,Rosy-faced Lovebird
Agelaioides badius,Grayish Baywing
Agelaius phoeniceus,Red-winged Blackbird
Agelaius tricolor,Tricolored Blackbird
Agelasticus thilius,Yellow-winged Blackbird
Ailuroedus crassirostris,Green Catbird
Aimophila rufescens,Rusty Sparrow
