ebird2021,comment
asctap1,
blbwre1,
blcjay1,
blcjay2,
blcwar2,
blgdov1,
bobfly1,
bubwre1,
bucmot4,
bugtan,
canwar,
ccbfin,
chwcha1,
cinbec1,
cocwoo1,
compau,
crbtan1,
ducfly,
fepowl,
forela1,
gbwwre1,
gofred1,
gohman1,
grbhaw1,
grekis,
grepot1,
kebtou1,
latman1,
laufal1,
linwoo1,
mattap1,
nobwoo1,
olipic1,
peptyr1,
rawwre1,
recwoo1,
rubher,
rufant1,this appears in old Colombia 2019 datasets, and is really rufant7
rufnig1,
rufwre1,
rumfly1,
rutjac1,
scrgre1,
slbfin2,
sltred,
sobtyr1,
stbwre2,
sthbrf8,
sthwoo1,
trieup1,
tropar,
trsowl,
whbant1,
whbman1,
whbspi2,
whbtyr1,
whcsap1,
whtdov,
whwbec1,
yebfly1,
yeofly1,
yercac1,
ywcpar
