ebird2021,comment
amecro,American crow
amegfi,American goldfinch
amered,American redstart
amerob,American robin
balori,Baltimore oriole
bawwar,Black-and-white warbler
babwar,Bay-breasted warbler
bkcchi,Black-capped chickadee
buggna,Blue-gray gnatcatcher
bnhcow,Brown-headed cowbird
buhvir,Blue-headed vireo
blujay,Blue jay
brncre,Brown Creeper
btnwar,Black-throated green warbler
buwwar,Blue-winged warbler
cangoo,Canada goose
carwre,Carolina wren
cedwax,Cedar waxwing
comrav,Common raven
comyel,Common yellowthroat
chswar,Chestnut-sided warbler
dowwoo,Downy woodpecker
eastow,Eastern towhee
eawpew,Eastern wood peewee
haiwoo,Hairy woodpecker
herthr,Hermit thrush
hoowar,Hooded warbler
kenwar,Kentucky warbler
louwat,Louisiana waterthrush
naswar,Nashville warbler
norcar,Northern cardinal
norfli,Northern flicker
ovenbi1,Ovenbird
pilwoo,Pileated woodpecker
robgro,Rose-breasted grosbeak
rebwoo,Red-bellied woodpecker
ruckin,Ruby-crowned kinglet
reevir,Red-eyed vireo
reshaw,Red-shouldered hawk
rewbla,Red-winged blackbird
scatan,Scarlet tanager
swathr,Swainson's thrush
tuftit,Tufted titmouse
veery,Veery
whbnut,White-breasted nuthatch
wiltur,Wild turkey
woothr,Wood thrush
yebcuc,Yellow-billed cuckoo
