ioc_12_2,comment
struthio camelus,Common Ostrich
struthio molybdophanes,Somali Ostrich
rhea americana,Greater Rhea
rhea pennata,Lesser Rhea
apteryx australis,Southern Brown Kiwi
apteryx mantelli,North Island Brown Kiwi
apteryx rowi,Okarito Kiwi
apteryx owenii,Little Spotted Kiwi
apteryx haastii,Great Spotted Kiwi
casuarius casuarius,Southern Cassowary
casuarius bennetti,Dwarf Cassowary
casuarius unappendiculatus,Northern Cassowary
dromaius novaehollandiae,Emu
tinamus tao,Grey Tinamou
tinamus solitarius,Solitary Tinamou
tinamus osgoodi,Black Tinamou
tinamus major,Great Tinamou
tinamus guttatus,White-throated Tinamou
nothocercus bonapartei,Highland Tinamou
nothocercus julius,Tawny-breasted Tinamou
nothocercus nigrocapillus,Hooded Tinamou
crypturellus berlepschi,Berlepsch's Tinamou
crypturellus cinereus,Cinereous Tinamou
crypturellus soui,Little Tinamou
crypturellus ptaritepui,Tepui Tinamou
crypturellus obsoletus,Brown Tinamou
crypturellus undulatus,Undulated Tinamou
crypturellus transfasciatus,Pale-browed Tinamou
crypturellus strigulosus,Brazilian Tinamou
crypturellus duidae,Grey-legged Tinamou
crypturellus erythropus,Red-legged Tinamou
crypturellus noctivagus,Yellow-legged Tinamou
crypturellus atrocapillus,Black-capped Tinamou
crypturellus cinnamomeus,Thicket Tinamou
crypturellus boucardi,Slaty-breasted Tinamou
crypturellus kerriae,Choco Tinamou
crypturellus variegatus,Variegated Tinamou
crypturellus brevirostris,Rusty Tinamou
crypturellus bartletti,Bartlett's Tinamou
crypturellus parvirostris,Small-billed Tinamou
crypturellus casiquiare,Barred Tinamou
crypturellus tataupa,Tataupa Tinamou
rhynchotus rufescens,Red-winged Tinamou
rhynchotus maculicollis,Huayco Tinamou
nothoprocta taczanowskii,Taczanowski's Tinamou
nothoprocta ornata,Ornate Tinamou
nothoprocta perdicaria,Chilean Tinamou
nothoprocta cinerascens,Brushland Tinamou
nothoprocta pentlandii,Andean Tinamou
nothoprocta curvirostris,Curve-billed Tinamou
nothura boraquira,White-bellied Nothura
nothura minor,Lesser Nothura
nothura darwinii,Darwin's Nothura
nothura maculosa,Spotted Nothura
taoniscus nanus,Dwarf Tinamou
eudromia elegans,Elegant Crested Tinamou
eudromia formosa,Quebracho Crested Tinamou
tinamotis pentlandii,Puna Tinamou
tinamotis ingoufi,Patagonian Tinamou
anhima cornuta,Horned Screamer
chauna chavaria,Northern Screamer
chauna torquata,Southern Screamer
anseranas semipalmata,Magpie Goose
dendrocygna viduata,White-faced Whistling Duck
dendrocygna autumnalis,Black-bellied Whistling Duck
dendrocygna guttata,Spotted Whistling Duck
dendrocygna arborea,West Indian Whistling Duck
dendrocygna bicolor,Fulvous Whistling Duck
dendrocygna eytoni,Plumed Whistling Duck
dendrocygna arcuata,Wandering Whistling Duck
dendrocygna javanica,Lesser Whistling Duck
thalassornis leuconotus,White-backed Duck
cereopsis novaehollandiae,Cape Barren Goose
branta bernicla,Brant Goose
branta ruficollis,Red-breasted Goose
branta sandvicensis,Nene
branta canadensis,Canada Goose
branta leucopsis,Barnacle Goose
branta hutchinsii,Cackling Goose
anser indicus,Bar-headed Goose
anser canagicus,Emperor Goose
anser rossii,Ross's Goose
anser caerulescens,Snow Goose
anser anser,Greylag Goose
anser cygnoides,Swan Goose
anser fabalis,Taiga Bean Goose
anser brachyrhynchus,Pink-footed Goose
anser serrirostris,Tundra Bean Goose
anser albifrons,Greater White-fronted Goose
anser erythropus,Lesser White-fronted Goose
coscoroba coscoroba,Coscoroba Swan
cygnus atratus,Black Swan
cygnus melancoryphus,Black-necked Swan
cygnus olor,Mute Swan
cygnus buccinator,Trumpeter Swan
cygnus columbianus,Tundra Swan
cygnus cygnus,Whooper Swan
stictonetta naevosa,Freckled Duck
hymenolaimus malacorhynchos,Blue Duck
tachyeres patachonicus,Flying Steamer Duck
tachyeres pteneres,Fuegian Steamer Duck
tachyeres brachypterus,Falkland Steamer Duck
tachyeres leucocephalus,Chubut Steamer Duck
merganetta armata,Torrent Duck
plectropterus gambensis,Spur-winged Goose
sarkidiornis sylvicola,Comb Duck
sarkidiornis melanotos,Knob-billed Duck
cyanochen cyanoptera,Blue-winged Goose
alopochen aegyptiaca,Egyptian Goose
alopochen mauritiana,Mauritius Sheldgoose
alopochen kervazoi,Reunion Sheldgoose
neochen jubata,Orinoco Goose
chloephaga melanoptera,Andean Goose
chloephaga picta,Upland Goose
chloephaga hybrida,Kelp Goose
chloephaga poliocephala,Ashy-headed Goose
chloephaga rubidiceps,Ruddy-headed Goose
radjah radjah,Radjah Shelduck
tadorna tadorna,Common Shelduck
tadorna ferruginea,Ruddy Shelduck
tadorna cana,South African Shelduck
tadorna tadornoides,Australian Shelduck
tadorna variegata,Paradise Shelduck
tadorna cristata,Crested Shelduck
malacorhynchus membranaceus,Pink-eared Duck
salvadorina waigiuensis,Salvadori's Teal
cairina moschata,Muscovy Duck
asarcornis scutulata,White-winged Duck
pteronetta hartlaubii,Hartlaub's Duck
aix sponsa,Wood Duck
aix galericulata,Mandarin Duck
chenonetta jubata,Maned Duck
nettapus auritus,African Pygmy Goose
nettapus coromandelianus,Cotton Pygmy Goose
nettapus pulchellus,Green Pygmy Goose
amazonetta brasiliensis,Brazilian Teal
callonetta leucophrys,Ringed Teal
lophonetta specularioides,Crested Duck
speculanas specularis,Bronze-winged Duck
sibirionetta formosa,Baikal Teal
spatula querquedula,Garganey
spatula hottentota,Blue-billed Teal
spatula puna,Puna Teal
spatula versicolor,Silver Teal
spatula platalea,Red Shoveler
spatula cyanoptera,Cinnamon Teal
spatula discors,Blue-winged Teal
spatula smithii,Cape Shoveler
spatula rhynchotis,Australasian Shoveler
spatula clypeata,Northern Shoveler
mareca strepera,Gadwall
mareca falcata,Falcated Duck
mareca penelope,Eurasian Wigeon
mareca sibilatrix,Chiloe Wigeon
mareca americana,American Wigeon
mareca marecula,Amsterdam Wigeon
anas sparsa,African Black Duck
anas undulata,Yellow-billed Duck
anas melleri,Meller's Duck
anas superciliosa,Pacific Black Duck
anas laysanensis,Laysan Duck
anas wyvilliana,Hawaiian Duck
anas luzonica,Philippine Duck
